task_id,max. depth,learning rate,algorithm,iterations,imputation
Task 12,0.6325090059141761,0.02259790464069777,0.031244774890217993,0.035137357631915764,0.0009468305456245598
Task 14966,0.37711045535172194,0.14091182685701947,0.06823144558626357,0.04267182445101824,0.0010249406227258138
Task 9914,0.4797825247423853,0.10499972585984052,0.018600332544571795,0.016858171493498903,0.0014469953170716807
Task 58,0.07713846455023593,0.26845917839133443,0.10826733975954259,0.0260179500556217,0.0010878290592537178
Task 3902,0.13765432267115313,0.15690926765091584,0.008375694002692356,0.09512445541769905,0.0028543567433188767
Task 16,0.6303200411395229,0.062013699789974404,0.01131327316883333,0.04488379251511654,0.001062429949747806
Task 9971,0.08061646939386084,0.20627966181041565,0.0086960674460028,0.024758940487810497,0.0073151979091539265
Task 15,0.6132184902688016,0.10952477047588349,0.0009447706273132586,0.01472085409601828,0.004475740025597896
Task 3543,0.3020718474648927,0.024640001627826966,0.04957427236169541,0.03329455468323547,0.00980353491269548
Task 23,0.21013957711013012,0.19107547226271426,0.04383383641044501,0.009832232373677006,0.0014580412822142372
Task 9968,0.22903943844815344,0.22106011931765573,0.018245947668741075,0.012506234778534651,0.0009131342709974244
Task 3549,0.5455078398253073,0.09780022001993445,0.00976296305141322,0.030003281753707357,0.0006560013387212199
Task 3,0.45263969036818913,0.10303303240006473,0.05465084813302112,0.005528384339203442,0.0007699949154311225
Task 9967,0.18170285384308998,0.0633994776714121,0.017212811842966025,0.03749360202709054,0.0006655755389361685
