% {"flow_id": 6970, "openml_server": "https://www.openml.org/api/v1/xml", "col_parameters": ["adaboostclassifier__algorithm", "adaboostclassifier__learning_rate", "adaboostclassifier__base_estimator__max_depth", "adaboostclassifier__n_estimators", "columntransformer__numeric__imputer__strategy"], "col_measures": ["predictive_accuracy"], "normalized_y": false, "study_id": "OpenML100", "num_runs": 400}
@RELATION openml-meta-flow-6970

@ATTRIBUTE adaboostclassifier__algorithm {SAMME, SAMME.R}
@ATTRIBUTE adaboostclassifier__learning_rate NUMERIC
@ATTRIBUTE adaboostclassifier__base_estimator__max_depth NUMERIC
@ATTRIBUTE adaboostclassifier__n_estimators NUMERIC
@ATTRIBUTE columntransformer__numeric__imputer__strategy {median, mean, most_frequent}
@ATTRIBUTE predictive_accuracy NUMERIC
@ATTRIBUTE task_id NUMERIC

@DATA
SAMME.R,0.011255550973941295,2,132,most_frequent,0.940864,3
SAMME.R,1.0040273352857714,10,50,most_frequent,0.996245,3
SAMME.R,0.10319133030536846,8,309,mean,0.990926,3
SAMME,1.8862175305301854,3,262,mean,0.991239,3
SAMME,0.030095208164935154,1,429,median,0.836358,3
SAMME.R,0.013234297940627176,1,227,median,0.904255,3
SAMME.R,0.19562781307286006,3,430,median,0.994681,3
SAMME,0.032724098348826676,5,423,mean,0.989987,3
SAMME.R,0.034777372660697775,6,311,most_frequent,0.993742,3
SAMME.R,0.4783625979157365,4,205,mean,0.995932,3
SAMME,0.3717098272407505,6,162,mean,0.996245,3
SAMME,1.8794685999263487,8,193,median,0.994681,3
SAMME,0.10903799975890209,6,402,mean,0.995307,3
SAMME.R,0.26750637872318683,6,299,mean,0.993742,3
SAMME,0.12662733703836795,6,496,median,0.995932,3
SAMME.R,0.5026550610418106,5,198,most_frequent,0.996245,3
SAMME.R,0.01201973779617573,2,261,most_frequent,0.948373,3
SAMME.R,0.09798419332146496,5,161,most_frequent,0.99562,3
SAMME.R,0.7798030926685469,9,281,most_frequent,0.994994,3
SAMME.R,0.01181074964117118,5,272,median,0.995307,3
SAMME,0.036268357443447724,10,202,median,0.996245,3
SAMME.R,0.06711561716037964,2,183,median,0.983104,3
SAMME.R,0.2173353731724041,9,88,most_frequent,0.992491,3
SAMME.R,0.01019939449964368,9,376,median,0.994994,3
SAMME.R,0.9070677401840584,2,285,most_frequent,0.995307,3
SAMME.R,0.1530830085856046,10,485,most_frequent,0.991865,3
SAMME,0.049093791891523166,1,258,mean,0.853567,3
SAMME.R,0.6295269857676137,7,86,most_frequent,0.994681,3
SAMME.R,0.3283672965907251,3,66,median,0.996245,3
SAMME,0.0246143544191979,2,428,median,0.950563,3
SAMME.R,0.12288145543352037,9,77,mean,0.994055,3
SAMME,0.1006223826260398,2,55,mean,0.940864,3
SAMME,0.25602955042942704,1,165,median,0.854193,3
SAMME.R,0.372401362979025,8,114,median,0.994994,3
SAMME,0.1017782462135055,4,147,most_frequent,0.973717,3
SAMME,0.6292236048445916,6,462,most_frequent,0.99562,3
SAMME.R,0.0112911084263929,1,449,median,0.940864,3
SAMME.R,0.0994025842716151,7,166,median,0.991865,3
SAMME.R,0.3430927255846244,4,496,most_frequent,0.994994,3
SAMME,0.1083902722223581,3,383,most_frequent,0.975282,3
