task_id,param_id,param_name,variance_contribution
14969,imputation,imputation,0.0005096526066238815
14969,shrinking,shrinking,0.00045530328386866946
3889,gamma,gamma,0.759118896561295
3889,complexity / gamma,complexity / gamma,0.02599462520136997
3889,complexity,complexity,0.020901014951145033
3889,coef0 / gamma,coef0 / gamma,0.030937884902119572
3889,gamma / tol,gamma / tol,0.04260252651025974
3889,coef0,coef0,0.03177764929067598
3889,tol,tol,0.022554554488595686
3889,imputation,imputation,0.0006899446226323794
3889,shrinking,shrinking,0.0009967624247259322
9950,gamma,gamma,0.847070300864617
9950,complexity / gamma,complexity / gamma,0.06450428485044124
9950,complexity,complexity,0.019427422681389243
9950,coef0 / gamma,coef0 / gamma,0.013644430836386223
9950,gamma / tol,gamma / tol,0.007905690556639904
9950,coef0,coef0,0.003488342583987337
9950,tol,tol,0.0036344569874997745
9950,imputation,imputation,0.00041616206950656324
9950,shrinking,shrinking,0.00010884642517149028
125920,gamma,gamma,0.21955318004529784
125920,complexity / gamma,complexity / gamma,0.309871829935717
125920,complexity,complexity,0.21138889728436527
125920,coef0 / gamma,coef0 / gamma,0.014919344195365197
125920,gamma / tol,gamma / tol,0.03704097057118669
125920,coef0,coef0,0.007784063282420965
125920,tol,tol,0.02059587299543444
125920,imputation,imputation,0.0025293752206059727
125920,shrinking,shrinking,0.0012308781429612686
3485,gamma,gamma,0.7425506544586116
3485,complexity / gamma,complexity / gamma,0.03442764501432316
3485,complexity,complexity,0.013496661586620976
3485,coef0 / gamma,coef0 / gamma,0.034525392239704966
3485,gamma / tol,gamma / tol,0.02009863065427065
3485,coef0,coef0,0.05576403632740094
3485,tol,tol,0.006045028630838439
3485,imputation,imputation,0.00344733614931075
3485,shrinking,shrinking,8.381968919133882e-05
146606,gamma,gamma,0.6111207362391372
146606,complexity / gamma,complexity / gamma,0.11818258313911068
146606,complexity,complexity,0.037230213344590285
146606,coef0 / gamma,coef0 / gamma,0.06631083372088664
146606,gamma / tol,gamma / tol,0.005233544057166459
146606,coef0,coef0,0.0349826116824939
146606,tol,tol,0.0010845671875966553
146606,imputation,imputation,0.001105710741301154
146606,shrinking,shrinking,1.8687651988145296e-05
3918,gamma,gamma,0.35672825564910343
